ImageInd	1
maxSize	None
minSize	50
minCir	0.6
channel	2
maxCir	None
thresh	75
->
x	y	r	c
13139.221	15433.236	12.179	0.838
16157.341	15486.459	10.403	0.888
14105.030	15517.091	19.511	0.757
11403.379	15535.784	12.127	0.856
12430.066	15615.339	12.628	0.827
14461.368	15611.868	9.837	0.885
10537.372	15700.824	11.185	0.895
13888.870	15852.184	9.657	0.907
13301.386	15924.408	10.896	0.746
10570.365	16010.212	4.068	0.974
12055.670	16121.477	12.231	0.833
13577.075	16166.499	12.527	0.818
13656.374	16419.079	11.340	0.943
11637.009	16516.791	12.153	0.818
10509.778	16546.824	11.241	0.850
10053.426	16543.981	4.146	0.883
12522.045	16901.895	11.835	0.938
9385.568	16922.319	14.516	0.906
16325.117	17012.127	11.185	0.781
13464.268	17141.732	11.326	0.884
13892.505	17281.005	11.590	0.833
16188.505	17330.093	8.058	0.938
14887.727	17360.489	10.794	0.840
13291.068	17568.845	11.835	0.895
13359.844	17607.985	11.241	0.912
11442.267	17868.636	10.705	0.882
10135.785	17936.537	12.653	0.702
14293.678	18135.983	4.334	0.692
14365.412	18142.144	5.557	0.770
14475.745	18140.647	4.029	0.914
14386.593	18153.375	12.964	0.797
13771.154	18287.430	12.374	0.836
14644.022	18461.955	5.323	0.706
13473.887	18484.509	4.107	0.786
9947.502	18538.357	14.483	0.827
15653.413	18625.122	13.111	0.852
14237.480	18693.928	11.740	0.900
14893.708	18720.318	12.087	0.790
8863.175	18735.160	24.326	0.675
15100.607	18855.901	12.438	0.870
14888.771	18903.998	11.672	0.831
15105.263	18959.541	17.463	0.663
15153.387	19028.856	12.270	0.826
14606.589	19031.433	12.101	0.894
15126.446	19060.768	4.222	0.707
15250.370	19125.818	12.412	0.865
13920.802	19219.677	5.528	0.661
15211.550	19220.333	4.370	0.688
13928.682	19247.605	17.734	0.759
15218.651	19239.410	11.185	0.889
15440.836	19291.888	14.295	0.796
14805.313	19294.228	13.147	0.877
12215.975	19361.712	12.270	0.889
15157.439	19400.107	12.048	0.832
9188.048	19422.639	13.147	0.914
16237.772	19430.888	11.686	0.659
15777.459	19456.563	12.514	0.906
16348.954	19525.778	12.087	0.930
11796.799	19531.694	10.295	0.929
13520.110	19703.522	10.326	0.884
12408.073	19709.364	4.184	1.000
13469.812	19747.378	11.128	0.923
9887.789	19778.326	9.837	0.863
9854.135	19791.353	9.966	0.886
9798.107	19792.810	10.764	0.920
9229.815	19817.342	12.244	0.832
9796.738	19820.753	10.403	0.835
16077.267	19824.914	12.603	0.856
14517.239	20023.368	11.535	0.891
11581.805	20049.113	12.463	0.867
13008.547	20089.499	15.472	0.669
10884.040	20091.867	10.495	0.756
11893.138	20116.076	11.968	0.919
16115.493	20131.985	12.296	0.766
15454.910	20194.069	6.794	0.891
16113.542	20284.953	19.593	0.667
15991.492	20335.259	13.013	0.807
15973.362	20524.334	13.843	0.731
13606.841	20663.965	13.434	0.856
12744.985	20675.701	11.199	0.772
16050.925	20735.091	13.351	0.813
13556.065	20772.888	12.866	0.875
13896.109	20991.721	11.982	0.902
12167.470	20995.774	10.479	0.857
15827.339	21102.518	10.749	0.933
9850.970	21241.198	9.821	0.921
11222.317	21318.089	11.781	0.944
15549.157	21312.882	4.029	0.644
12188.160	21365.614	11.199	0.926
11405.099	21506.840	15.717	0.696
15930.301	21602.301	11.995	0.896
15665.135	21737.385	10.764	0.734
15759.963	21740.160	5.078	0.861
9685.186	21816.135	12.283	0.802
9696.280	21869.229	17.298	0.707
9756.438	21876.958	12.590	0.789
14263.169	22023.159	11.740	0.896
14945.354	22179.103	14.842	0.812
10593.845	22411.538	10.233	0.902
13921.515	22437.958	11.396	0.861
9382.196	22465.640	13.135	0.809
9969.957	22567.619	11.808	0.717
14345.843	22605.218	11.213	0.861
9776.736	22626.492	12.766	0.773
8612.681	22736.435	4.687	0.606
10838.919	23082.053	11.199	0.798
16357.773	23206.637	16.584	0.701
12924.720	23403.106	11.085	0.953
9518.867	23418.040	12.964	0.906
9135.050	23507.000	11.041	0.889
15442.871	23661.843	13.123	0.816
13099.411	23733.804	4.222	0.819
8223.361	23902.981	11.466	0.753
16209.619	23997.873	14.184	0.768
14227.709	24125.714	16.371	0.847
9967.425	24129.252	12.114	0.881
10357.263	24132.912	4.260	0.788
9594.479	24404.726	11.354	0.899
13380.953	24492.378	19.520	0.711
11239.862	24588.956	11.041	0.875
12385.509	24645.782	4.184	0.742
15159.436	24710.925	12.205	0.896
9221.490	24866.926	33.530	0.622
11013.575	24990.355	10.675	0.898
12841.251	25138.450	10.570	0.939
11244.920	25175.488	11.452	0.865
10378.722	25183.544	10.600	0.929
10340.229	25202.796	9.508	0.963
13754.381	25429.623	12.603	0.846
15162.181	25493.482	12.976	0.770
13087.824	25625.537	12.766	0.838
9375.142	25805.628	10.911	0.860
10200.668	25875.551	17.581	0.710
14549.934	25944.819	12.803	0.895
11516.875	25956.969	11.170	0.858
14459.267	26088.139	13.279	0.963
14388.043	26456.459	15.128	0.861
14204.418	26470.642	13.658	0.817
14169.593	26469.636	12.476	0.820
15621.467	26487.450	12.704	0.807
12123.766	26526.748	11.128	0.923
11603.475	26686.582	10.794	0.841
14734.887	26698.069	11.396	0.879
14411.976	26731.314	11.438	0.904
15524.562	26734.718	14.184	0.875
14399.571	26769.153	12.087	0.884
15643.950	26777.398	14.538	0.863
14928.185	26781.854	11.354	0.931
14920.869	26807.464	11.142	0.911
14957.808	26822.823	14.625	0.811
14884.577	26826.473	11.312	0.865
11437.615	26832.024	9.624	0.961
15005.027	26851.921	14.625	0.829
13862.547	26846.170	4.107	0.821
15025.572	26904.951	16.670	0.711
10601.190	26949.335	10.029	0.954
11674.059	27007.820	11.888	0.789
8569.781	27041.286	5.781	0.896
13945.602	27071.098	6.507	0.996
15131.316	27081.792	12.048	0.853
15495.071	27163.590	13.062	0.873
11195.356	27177.915	4.334	1.000
11852.986	27263.352	4.754	0.753
12277.573	27289.998	16.323	0.814
15459.902	27320.094	12.716	0.926
10756.181	27574.239	12.438	0.886
12808.164	27788.711	10.705	0.873
10817.802	27823.342	9.739	0.940
10881.825	27920.553	11.452	0.856
14146.350	28144.750	4.370	1.000
12748.517	28165.753	5.323	1.000
12981.889	28575.139	10.280	0.882
13028.256	28735.546	8.500	0.770
9813.740	28773.495	11.754	0.827
12658.957	28809.268	8.992	0.781
14638.852	29181.009	12.166	0.878
12474.722	29393.487	11.113	0.942
10452.441	29412.653	10.882	0.823
15530.231	29489.370	5.863	0.950
10124.535	29612.181	12.074	0.882
14519.007	29728.941	11.645	0.922
9434.000	29978.446	6.433	0.771
15031.103	30033.675	14.206	0.790
9092.259	30139.571	13.482	0.772
14272.038	30530.127	5.015	1.000
9557.000	30859.803	4.406	0.918
9927.056	31776.337	7.527	0.736
11288.188	31993.540	10.720	0.722
10101.482	32004.176	9.009	0.631
8452.164	33613.192	4.820	1.000
8392.860	33778.617	23.125	0.858
10223.841	33800.391	4.687	0.939
8492.019	33988.833	4.146	1.000
15994.321	34139.106	30.752	0.690
8730.936	34444.355	11.982	0.744
9118.760	34944.280	4.886	0.854
10210.639	35295.776	14.362	0.720
8534.732	35833.159	5.109	0.872
9417.073	36216.018	4.184	1.000
22676.888	723.249	10.108	0.738
16407.804	1105.434	16.235	0.700
16803.316	1453.778	6.103	0.746
16710.093	1473.493	8.500	0.690
16810.820	1585.838	11.808	0.914
17198.188	1963.968	35.279	0.705
23888.315	2570.191	20.358	0.720
17536.980	2754.772	12.552	0.722
17831.316	2854.386	4.260	0.721
17837.512	3014.686	6.206	0.732
18055.395	3207.395	4.918	0.692
17739.981	3221.288	4.068	0.865
17087.950	3859.812	12.140	0.890
17106.044	3891.493	10.449	0.867
22071.883	4357.523	14.766	0.833
21961.966	4365.552	12.179	0.638
21776.704	4420.727	11.270	0.761
16761.134	4531.675	12.322	0.836
23440.008	4554.549	10.984	0.885
23233.520	4748.692	14.082	0.617
19988.688	5409.642	9.575	0.951
19989.793	5432.624	9.202	0.860
22420.689	5561.333	12.101	0.946
22345.480	5569.529	13.658	0.878
24031.675	5609.664	10.525	0.839
23005.882	5688.723	9.591	0.857
23063.992	5713.742	12.754	0.837
22999.853	5711.876	9.885	0.822
18028.830	5743.125	16.371	0.603
24556.165	5837.960	11.631	0.918
17944.472	6215.085	13.291	0.871
18108.403	6221.077	14.766	0.699
17976.658	6287.608	14.217	0.725
17887.883	6296.811	13.111	0.641
24476.967	6512.633	4.370	0.694
24436.667	6519.203	4.687	0.670
23385.644	6647.119	4.334	1.000
23037.882	6738.642	15.327	0.836
19302.826	6738.893	10.896	0.795
18347.898	6866.673	11.298	0.837
20723.663	6921.265	10.510	0.907
23436.502	7029.967	14.560	0.769
24297.632	7087.182	9.624	0.863
24385.880	7094.125	11.270	0.843
24360.982	7109.780	10.218	0.955
24517.732	7564.854	10.449	0.873
22136.408	7944.811	16.205	0.810
17092.539	7932.933	7.569	0.705
23820.397	8255.677	13.399	0.931
23807.099	8368.439	12.008	0.734
23756.692	8396.495	5.382	0.905
23806.265	8415.087	12.552	0.676
23770.719	8437.385	11.848	0.809
21291.446	8471.735	17.563	0.608
17681.805	8491.452	12.451	0.852
23472.165	8492.853	5.890	0.793
19683.046	8503.294	13.446	0.906
23597.759	8511.135	6.507	0.905
23243.118	8526.513	4.918	0.911
22505.842	8626.206	7.247	0.836
22848.727	8638.255	4.184	1.000
22621.790	8647.150	7.291	0.758
20803.722	8659.137	14.472	0.732
17588.538	8676.215	5.441	0.829
22424.897	8707.015	4.652	0.941
22401.806	8709.516	4.442	1.000
18292.806	8736.950	15.564	0.673
16867.577	8778.089	11.835	0.765
22221.296	8779.607	12.101	0.694
16721.665	8837.579	13.470	0.899
16456.266	8874.270	12.231	0.900
22514.656	9198.971	14.105	0.763
20401.851	9199.227	7.001	0.899
17192.471	9241.796	12.244	0.826
22015.494	9445.476	12.127	0.767
23555.190	9562.502	11.995	0.650
19818.662	9587.016	13.231	0.841
19326.979	9603.524	12.927	0.797
19300.547	9626.824	11.942	0.774
19293.424	9654.114	11.915	0.845
19793.556	9677.771	12.927	0.875
16675.951	9677.171	15.012	0.617
17746.645	9733.350	12.766	0.780
19746.695	9831.731	14.745	0.820
16928.174	9878.568	14.362	0.855
18039.444	10036.295	11.576	0.912
20057.314	10136.941	4.029	0.628
17790.290	10288.888	23.337	0.752
24400.539	10292.393	10.838	0.905
21198.129	10317.969	10.061	0.792
24336.856	10354.462	11.968	0.893
19772.290	10407.995	8.253	0.752
18601.123	10413.982	4.260	0.960
18778.399	10575.679	10.867	0.895
21858.056	10594.196	10.955	0.816
21410.291	10650.592	11.645	0.833
17019.588	10696.558	18.317	0.683
22392.791	10745.395	16.869	0.724
18615.656	11272.938	4.514	0.885
19850.297	11319.386	12.716	0.729
18597.229	11357.208	15.285	0.829
24425.335	11361.912	14.450	0.670
20353.855	11402.687	25.675	0.781
19245.956	11407.312	11.424	0.825
18583.600	11572.559	11.142	0.819
19129.747	11749.005	8.311	0.914
23885.036	11840.986	16.765	0.697
19079.541	11870.445	10.764	0.841
23143.473	11965.930	11.658	0.807
21588.316	12182.956	11.713	0.825
16556.902	12183.021	10.187	0.866
20922.381	12293.407	11.085	0.901
17209.354	12370.328	11.617	0.812
18231.692	12370.952	10.311	0.791
18568.181	12422.191	11.549	0.859
19957.106	12581.278	11.113	0.763
17911.138	12594.252	11.672	0.840
18921.956	12600.291	13.923	0.704
17692.985	12628.450	12.048	0.661
17887.103	12767.331	16.361	0.670
21214.517	12782.954	12.361	0.870
21428.622	12886.392	12.283	0.917
22055.361	12966.385	12.527	0.930
19113.493	13046.447	17.992	0.770
23112.231	13117.173	4.068	0.974
16822.759	13349.583	10.077	0.912
22395.003	13374.823	10.734	0.805
22424.670	13445.330	5.726	0.906
22829.713	13511.653	15.998	0.686
22343.871	13576.129	4.442	0.812
19066.466	13771.479	11.298	0.868
22577.800	13770.892	4.549	1.000
20699.123	14021.966	11.493	0.879
17001.265	14063.940	11.284	0.965
24042.835	14085.695	11.604	0.827
18860.474	14096.233	13.219	0.763
17676.666	14211.195	16.391	0.615
16946.591	14221.587	11.507	0.843
16901.205	14241.818	12.952	0.775
16884.468	14274.565	13.470	0.784
19102.688	14620.902	12.616	0.871
17752.655	14851.480	12.296	0.815
18588.651	14905.814	11.493	0.914
21101.123	14918.251	11.590	0.828
21129.881	14921.679	11.915	0.898
20767.391	15028.795	13.135	0.633
21181.494	15091.709	10.675	0.904
19229.944	15114.291	10.969	0.869
24263.970	15132.535	5.614	0.754
17232.510	15454.921	9.837	0.842
22547.715	15512.335	11.535	0.820
20916.833	15579.184	12.257	0.849
21209.893	15617.571	5.971	0.848
21598.111	15661.917	4.787	0.765
23807.791	15725.442	5.232	0.684
23813.793	15742.915	9.674	0.836
22141.121	15862.813	5.836	0.639
22141.378	15888.678	13.422	0.671
22061.266	15919.166	8.538	0.625
17567.773	16072.866	10.464	0.960
22885.028	16112.401	10.202	0.602
17558.620	16126.938	11.099	0.876
23183.759	16127.910	10.140	0.924
17530.052	16177.024	26.306	0.602
17750.515	16203.031	11.170	0.764
16459.274	16204.236	11.955	0.966
16526.906	16229.414	9.918	0.884
17792.273	16276.042	11.056	0.891
23079.454	16322.739	13.025	0.918
16717.847	16353.303	10.403	0.847
21732.662	16398.608	12.348	0.806
22868.048	16436.552	12.666	0.801
16727.214	16463.656	11.631	0.900
22299.973	16535.015	11.438	0.858
17263.271	16630.988	11.576	0.896
23990.726	16664.811	13.808	0.904
22311.049	16713.175	12.952	0.839
23768.431	16747.678	44.252	0.743
23286.400	16944.455	4.184	0.926
23478.778	17001.019	4.146	0.640
23618.495	17096.460	14.980	0.784
23259.221	17147.500	4.652	0.978
16794.848	17213.594	11.915	0.885
18574.819	17292.544	10.925	0.831
16872.737	17331.112	10.940	0.886
17159.777	17346.630	12.540	0.896
19193.179	17475.100	15.128	0.742
17305.288	17517.210	12.438	0.855
20593.966	17559.935	9.641	0.770
20657.210	17569.580	7.485	0.824
19041.058	17589.554	11.982	0.851
16596.358	18036.350	15.358	0.649
19992.605	18177.276	12.048	0.843
21330.776	18212.910	12.048	0.886
16842.130	18406.278	12.616	0.882
21294.804	18526.243	11.942	0.941
19410.889	18538.705	11.480	0.916
24204.069	18690.460	12.192	0.711
16778.145	18692.273	4.184	0.614
17053.074	18712.150	13.727	0.847
24172.450	18739.520	17.608	0.698
16748.431	18747.627	6.979	0.878
